weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed
76,S1,32,92,SN2,34,65,S1,36,59,X,36,192,8.1
105,SO2 S3,31,99,S3,35,101,S3,37,X,X,X,162,6.5
83,SO2,39,72,S1,42,X,X,X,X,X,X,146,5.6
94,SN2,41,77,S1,45,66,X,47,X,X,X,223,9.2
80,SO2,33,87,SN2,31,78,SO2,33,X,X,X,146,13.1
83,SO2,36,73,S1,43,91,SN2,36,X,X,X,170,12.3
88,SO2,39,44,54,36,71,S1,38,X,X,X,197,9
65,X,35,75,S1,38,50,X,36,105,S3 S1,37,250,10.9
65,X,37,99,S3,39,67,X,47,94,SN2,36,176,15.2
55,X,33,74,S1,36,73,S1,40,79,SO2,40,236,15
72,S1,32,60,X,36,51,X,40,75,S1,38,246,13.1
68,S1,38,103,S3 S1,32,109,S3 SO2,32,90,SN2,30,220,16.2
68,S1,39,47,X,30,91,SN2,33,111,S3 SN2,33,150,15.4
91,SN2,37,73,S1,36,62,X,49,103,S3,37,186,14.3
58,X,45,61,X,45,83,SO2,37,60,X,45,141,14
73,S1,46,78,S1,46,74,S1,50,69,S1,53,207,14.6
X,X,X,74,SO2,40,57,X,36,75,SO2,38,171,15.7
100,SO2 S3,46,74,SO2,42,68,SO2,44,X,X,X,146,14.9
57,S1,34,94,S3,36,56,S1,44,96,S3,44,224,12.5
113,SO2 SN2 S3,44,86,SN2,40,86,SN2,38,60,S1,35,148,17.7
61,S1,40,74,SO2,36,64,S1,38,92,S3,42,191,17.6
64,S1,37,62,S1,37,81,SN2,40,86,SN2,37,179,15.5
59,S1,32,56,S1,36,109,SN2 S3,42,76,SO2,36,212,14.6
109,SN2 S3,42,92,S3,39,65,S1,40,67,S1,41,211,13.9
100,S1 S3,40,73,SO2,40,102,S3 SO2,40,67,S1,43,210,14.8
74,SO2,33,63,S1,34,67,S1,36,60,S1,30,198,11.3
74,SO2,36,66,S1,33,71,SO2,33,70,SO2,30,196,12
85,SO2,34,82,SO2,37,95,SN2,37,55,X,45,216,10.4
84,SO2,40,73,S1,37,95,SN2,33,111,S3 SN2,30,221,14.7
96,S3,38,80,SO2,37,76,SO2,42,65,S1,40,212,15.6
X,X,X,82,SO2,42,112,SN2 S3,43,119,SN2X2 S3,43,153,11.1
98,S3,37,57,S1,39,101,S3 S1,42,80,SO2,44,157,15.3
78,SO2,40,85,SN2,43,41,51,44,69,S1,47,214,14.5
73,SO2,34,59,S1,38,50,X,41,63,S1,43,180,13.6
X,X,X,87,SN2,38,72,SO2,38,61,S1,38,205,13.2
60,S1,34,67,SO2,34,71,SO2,36,94,S3,38,190,15.2
76,SO2,41,101,S3 SO2,38,102,S3 SO2,38,80,SO2,40,171,14
85,SN2,39,92,SN2,39,66,S1,42,X,X,X,205,16.6
74,SO2,33,50,X,34,77,SO2,40,72,SO2,37,185,12.6
60,S1,35,81,SN2,30,71,SO2,30,102,S3 SO2,34,186,11.2
77,SO2,28,69,SO2,28,63,S1,35,79,SO2,38,153,9
108,S3 SN2,37,69,SO2,42,100,S3 SO2,45,116,S3 SN2X2,49,162,11
69,SO2,36,72,SO2,42,53,X,45,59,S1,37,164,16.2
64,SO2,34,77,SN2,36,68,SO2,38,85,SN2,40,191,12.8
59,S1,34,54,S1,34,57,S1,37,65,SO2,26,162,13.3
73,SO2,36,76,SO2,36,61,S1,37,63,S1,38,224,18.1
78,SO2,36,99,S3 S1,36,101,S3 SO2,40,119,S3 SN2X2,44,216,19.5
79,SO2,30,84,SN2,32,95,S3,30,104,SO2 S3,35,198,20.4
TW50,X,42,TW50,X,47,TW50,X,44,TW50,X,42,168,14.6
61,S1,31,84,SN2,28,79,SN2,28,81,SN2,28,200,13.8
104,S3 SO2,40,114,S3 SN2 SO2,43,88,SN2,35,72,S02,31,217,7
X,X,X,85,SN2,33,88,SN2,33,74,SO2,31,148,9.3
95,S3,27,56,S1,28,112,S3 SN2X2,30,111,S3 SN2X2,30,156,7.8
76,SO2,30,116,S3 SN2X2,35,80,SO2,28,76,SO2,28,137,9.6
X,X,X,73,SO2,26,63,S1,34,X,X,X,132,7.7
86,SN2,30,102,SO2 S3,34,97,S3,33,X,X,X,212,4.9
93,SN2,38,69,S1,44,93,SN2,41,X,X,X,222,12.3
63,S1,30,72,SO2,36,X,X,X,X,X,X,216,11.7
78,SO2,37,72,SO2,32,91,SN2,38,X,X,X,226,15.3
73,S02,33,60,S1,39,77,S02,38,100,S3 S1,30,166,8.2
67,S1,35,78,SO2,45,80,SO2,46,63,S1,38,177,13.7
87,SN2,42,86,SN2,40,89,SN2,43,68,S1,47,218,11.5
92,SN2,48,93,SN2,50,88,SN2,45,82,SO2,43,158,14.2
78,SN2,37,68,SO2,38,40,50,40,83,SN2,40,202,18.4
98,S3 SN2,36,78,SN2,36,64,SO2,30,88,S3,30,191,17
85,S3,39,98,S3 SN2,33,65,SO2,40,99,S3 SN2,40,228,16.2
59,S1,37,56,S1,37,105,SN2X2 S3,34,75,SN2,30,167,23.9
93,S3 S02,42,69,SN2,32,84,S3,39,X,X,X,161,15.6
101,SO2 SN2 S3,39,101,SO2 SN2 S3,38,94,SN2 S3,32,X,X,X,192,16.5
61,SO2,33,84,S3,34,78,SN2,38,68,SO2,38,177,16.5
79,SN2,34,74,SO2,40,89,S3,34,X,X,X,151,12.7
44,X,33,102,S3 SN2X2,29,99,S3 SN2 SO2,44,100,S3 SN2 SO2,35,200,14.8
74,S02,38,68,SO2,36,83,SN2,40,62,S1,42,158,17.4
55,S1,40,86,SN2,42,108,S3 SN2 SO2,44,96,S3 S1,40,162,14.3
X,X,X,108,S3SN2X2,42,83,SN2,40,X,X,X,150,12.3
84,SN2,43,70,SO2,44,52,S1,38,101,S3 SN2 SO2,42,197,15.7
79,SN2,32,70,SO2,40,59,S1,35,84,SN2,32,163,15
86,S3,34,77,SN2,33,79,SN2,34,98,S3 SN2,34,198,14.4
83,SN2,35,95,S3 S1,45,89,S3,35,112,SN2X2 S3,45,194,14
82,S3,39,82,S3,38,86,S3,38,93,S3 SN2,37,214,13.2
114,S3 SN2X2,44,77,SN2,40,95,SN2 S3,39,104,SO2 SN2 S3,46,205,17.3
X,X,X,54,S1,51,59,SO2,47,51,S1,46,193,17.8
X,X,X,74,S3,27,81,S3 SN2 SO2,32,69,S3,32,224,18.8
87,S3 SN2,35,69,SN2,37,74,S3,36,80,S3 SO2,35,221,15.5
71,S3,31,80,S3 SN2,34,75,S3 SO2,35,106,S3 SN2X2,32,161,14.5
104,S3 SN2X2,43,55,SO2,37,X,X,X,X,X,X,162,16.8
54,SO2,39,42,S1,34,36,X,36,X,X,X,167,21.6
56,SO2,27,39,X,35,33,X,27,X,X,X,210,17.6
92,S3 SN2,40,97,S3 SN2 SO2,37,89,S3 SO2,36,88,S3 SO2,36,218,17.3
72,S3,42,106,S3 SN2X2,37,91,S3 SN2 S1,34,77,S3 S1,36,169,24.4
108,SN2X2 S3,42,104,SN2X2 S3,43,47,S1,36,91,S3 SN2 S1,41,205,23.9
96,S3 SN2 SO2,49,57,SN2,39,76,S3 S1,48,70,S3,39,152,18.7
79,S3 SO2,47,85,S3 SN2,46,40,X,44,37,X,44,167,25
82,S3 SN2,51,74,S3 SO2,51,84,S3 SN2,44,106,S3 SN2X2,54,199,28.4
93,S3 SN2X2,48,71,S3 SN2,38,X,X,X,X,X,X,160,23.4
78,S3 SN2 SO2,42,85,S3 SN2 SO2,45,74,S3 SN2,37,63,S3 SO2,33,156,25.1
61,S3 S1,42,36,X,50,55,SN2,45,50,SN2,43,153,20.7
86,S3 SN2 SO2,48,72,S3 SN2,48,81,S3 SN2 SO2,41,83,S3 SN2 SO2,48,158,28.1
71,S3 SN2,36,64,S3 SO2,36,69,SN2 S3,39,101,S3 SN2X2,50,205,20.7
101,S3 SN2X2,37,79,S3 SN2 SO2,36,78,S3 SN2 SO2,34,X,X,X,186,22.5
85,S3 SN2 SO2,44,97,S3 SN2X2,45,79,S3 SN2 SO2,44,91,S3 SN2X2,47,210,22.6
80,SO2 SN2 S3,42,81,SO2 SN2 S3,43,53,SN2,45,76,S3 SN2,40,193,25.6
85,S3 SN2X2,41,82,S3 SN2X2,38,70,S3 SN2,41,63,S3 S1,34,195,24.8
67,S3 SN2,37,100,S3 SN2X2,44,96,S3 SN2X2,43,X,X,X,198,24
91,S3 SN2X2,38,66,S3 SO2,35,76,S3 SN2 SO2,40,65,S3 SO2,35,177,15.9
87,S3 SN2 SO2,42,58,S3,27,78,S3 SN2 S1,42,92,S3 SN2 SO2,42,210,17.9
X,X,X,63,S3,31,62,S3,31,60,S3,31,201,18.1
51,SO2,32,70,S3,32,64,SN2,35,X,X,X,,
91,S3 SN2 SO2,40,62,SN2,42,78,S3 SN2 ,41,88,S3 SN2 SO2,44,145,20.5
51,SN2,30,89,S3 SN2X2,42,67,S3 SN2 SO2,42,81,S3 SN2X2,44,159,23.6
69,S3 SO2,25,85,S3 SN2X2,32,89,S3 SN2X2,32,74,S3 SN2,23,190,16.4
78,S3 SN2,33,72,S3 SO2,30,74,S3 SO2,31,63,S3,28,150,18.2
78,S3 SO2,30,98,S3 SN2X2,33,100,S3 SN2X2,36,95,S3 SN2X2,36,228,20.2
X,X,X,82,S3 SN2,30,86,S3 SN2,33,73,S3,32,158,23.6
98,S3 SN2 SO2,45,83,S3 SO2,44,62,SO2,41,88,S3 SO2,39,186,18.6
82,S3 SN2,36,51,S1,31,75,S3 S1,31,77,S3 S1,31,184,19.5
69,S3,32,59,SO2,36,72,S3,34,70,S3,30,142,17.8
98,S3 SN2X2,34,81,S3 SO2,33,86,S3 SN2,33,90,S3 SN2 SO2,37,202,15.9
77,S3,38,74,S3,38,93,S3 SN2 X2,43,78,S3,43,219,16.9
91,S3 SN2 SO2,41,77,S3 S1,43,84,S3 SN2 SO2,46,89,S3 SN2 SO2,50,204,21.8
82,S3 SN2 SO2,39,72,S3 SO2,33,65,S3 S1,26,55,S3,23,226,31
94,S3 SN2X2,46,90,S3 SN2X2,44,62,S3,40,76,S3 SN2,40,188,24.4
62,S3,44,58,S3,44,83, S3 SN2 SO2,49,X,X,X,181,29.5
90,S3 SN2X2,38,60,S3,33,67,S3 SN2,27,64,S3 SO2,25,200,30.1
53,S3,32,63,S3 SN2,33,73,S3 SN2 SO2,37,X,X,X,193,30.2
X,X,X,93,S3SN2X2,48,73,S3 SN2 SO2,44,77,S3 SN2 SO2,41,203,28.3
86,S3 SN2X2,40,64,S3 SN2,33,60,S3 SO2,32,X,X,X,148,29.6
71,S3 SN2 SO2,40,99,S3 SN2X2,47,94,S3 SN2X2,46,59,S3 SO2,40,195,23.8
45,S1,47,61,S3 SO2,42,68,S3 SN2,40,61,S3 SO2,42,196,26.8
95,S3 SN2X2,44,86,S3 SN2X2,42,56,S3 S1,41,X,X,X,200,29
58,S3 SO2,33,66,S3 SN2,35,38,S1,41,78,S3 SN2X2,39,176,26.9
53,S3 SO2,30,97,S3 SN2X2,41,75,S3 SN2 SO2,41,92,S3 SN2X2,41,191,28.1
67,S3 SN2,25,67,S3 SN2,25,36,X,36,X,X,X,159,14.8
92,S3 SN2X2,36,67,S3 SN2,37,81,S3 SN2 SO2,35,91,S3 SN2X2,40,167,17.1
100,S3 SN2X2,40,54,S3,34,86,S3 SN2X2,32,81,S3 SN2 SO2,32,211,18.4
92,S3 SN2X2,37,35,X,35,57,S3 SO2,36,56,S3 SO2,40,193,20.4
89,S3 SN2X2,45,56,S3 ,36,77,S3 SN2 SO2,46,96,S3 SN2X2,52,184,22.9
95,S3 SN2X2,37,95,S3 SN2X2,38,81,S3 SN2 SO2,35,97,S3 SN2X2,38,206,23.7
78,S3 SN2 SO2,46,100,S3 SN2X2,48,87,S3 SN2X2,45,99,S3 SN2X2,42,205,21.5
74,SO2 SN2 S3,40,72,SO2 SN2 S3,37,84,S3 SN2X2,35,95,S3 SN2X2,36,202,23.1
97,S3 SN2X2,46,89,S3 SN2X2,47,100,S3 SN2X2,47,59,SN2,40,169,24.7
84,S3 SN2X2,40,84,S3 SN2X2,34,84,S3 SN2X2,33,47,SO2,31,186,24.7
X,X,X,X,X,X,TW50,SLIDER,22,TW50,SLIDER,26,195,15.6
X,X,X,X,X,X,94,SN2 S3,33,90,SN2 S3,35,212,18.5
TW50,SLIDER,35,TW50,SLIDER,35,54,SO2,37,114,SN2X2 S3,59,179,21.6
80,S1 S3,48,58,SO2,45,63,SO2,43,75,S3,43,174,21.3
90,SN2 S3,43,88,SO2 S3,48,81,SO2 S3,43,X,X,X,164,22.5
92,SN2 S3,45,87,SN2 S3,45,77,SO2 S3,45,78,SO2 S3,43,203,21.2
82,SN2 S3,37,54,SO2,37,99,SN2 X2 S3,47,84,SN2 S3,35,196,23.5
103,SN2 X2 S3,43,105,SN2 X2 S3,39,67,SN2,37,75,SO2 S3,37,189,22.5
57,SO2,41,69,S3,35,60,SO2,41,X,X,X,174,25.1
72,S3,46,69,S3,44,78,SO2 S3,38,71,S3,39,205,16.5
73,S3,46,77,S1 S3,49,76,S1 S3,46,X,X,X,172,21
85,S1 SN2 S3,54,87,S1 SN2 S3,55,78,SO2 S3,39,X,X,X,179,15.1
62,SN2,35,60,SN2,36,71,S1 S3,37,71,S1 S3,39,181,22.1
X,X,X,66,SN2,44,46,S1,42,60,SO2,43,193,16.6
X,X,X,X,X,X,87,SO2 SN2 S3,49,86,SO2 SN2 S3,55,174,20
55,SO2,37,92,SN2 X2 S3,37,72,S1 S3,35,87,SN2 X2 S3,35,169,18.6
75,S1 S3,40,64,SN2,37,73,S1 S3,39,98,SN2 X2 S3,42,212,13
81,S1 SN2 S3,45,86,SO2 SN2 S3,45,65,SN2,34,108,SN2 X2 S3,47,178,15.1
83,S1 SN2 S3,43,101,SN2 X2 S3,43,98,SN2 X2 S3,44,95,SN2 X2 S3,42,198,20.5
75,S3,35,67,SO2,42,53,S1,45,63,SO2,35,177,23.6
79,S1 S3,44,73,S3,44,78,S1 S3,43,55,S1,48,165,19.1
110,SN2 X2 S3,51,98,SN2 X2 S3,52,78,S1 S3,38,78,S1 S3,38,162,21.1
88,SN2 X2 S3,44,61,SN2,38,45,S1,46,62,SN2,38,198,21.8
X,X,X,62,SN2,36,57,SO2,35,58,SO2,36,188,26.9
X,X,X,53,SO2,39,102,SN2 X2 S3,55,X,X,X,161,23.2
92,SN2 X2 S3,43,73,S1 S3,42,X,X,X,74,S1 S3,46,196,18.8
71,S1 S3,39,62,SN2,35,83,SO2 SN2 S3,40,53,SO2,34,187,18.5
84,SO2 SN2 S3,40,71,S1 S3,36,86,SN2 X2 S3,38,X,X,X,129,15.4
93,SN2 X2 S3,46,104,SN2 X2 S3,53,88,SN2 X2 S3,47,X,X,X,181,20.2
X,X,X,74,S1 S3,46,62,SN2,43,61,SN2,43,164,22.1
57,SO2,37,68,S3,34,78,SO2 S3,36,X,X,X,190,21.2
83,SO2 SN2 S3,45,74,S1 S3,35,68,S3,38,85,SN2 X2 S3,43,143,28.7
65,SN2,39,91,SN2 X2 S3,38,64,SN2,38,45,S1,43,208,22.5
77,SO2 S3,42,61,SN2,38,86,SO2 SN2 S3,46,93,SN2 X2 S3,45,198,22.9
71,S1 S3,38,65,S3,34,91,SN2 X2 S3,45,60,SN2,35,170,23.4
101,SN2 X2 S3,46,76,SO2 S3,39,45,S1,46,X,X,X,191,17.9
99,SN2 X2 S3,45,84,SO2 SN2 S3,43,94,SN2 X2 S3,40,40,S1,38,127,21.8
60,SN2,44,78,SO2 S3,43,78,SO2 S3,44,108,SN2 X2 S3,49,194,24.3
82,SO2 SN2 S3,38,94,SN2 X2 S3,45,47,S1,38,97,SN2 X2 S3,43,143,24.7
80,SO2 SN2 S3,38,70,S1 S3,35,70,S1 S3,35,82,SO2 SN2 S3,38,150,18.8
88,SN2 X2 S3,46,66,SN2,45,65,SN2,44,101,SN2 X2 S3,53,180,23
X,X,X,85,SO2 SN2 S3,45,72,S1 S3,44,80,SO2 SN2 S3,45,198,23.1
108,SN2 X2 S3,43,84,SO2 SN2 S3,42,105,SN2 X2 S3,53,84,SO2 SN2 S3,47,184,21.1
93,SN2 X2 S3,45,66,SN2,37,60,SN2,36,94,SN2 X2 S3,43,196,20.3
90,SN2 X2 S3,46,64,SN2,42,71,SO2 S3,42,87,SO2 SN2 S3,46,146,13.4
68,SN2,42,46,S1,46,52,SO2,43,86,SO2 SN2 S3,45,176,20.5
63,SN2,35,66,SN2,34,73,S1 S3,41,61,SN2,26,149,19.1
56,SO2,45,68,SN2,42,86,SO2 SN2 S3,45,87,SO2 SN2 S3,43,155,17.3
71,S1 S3,34,58,SO2,35,79,SO2 S3,38,67,SN2,35,172,21.1
99,SN2 X2 S3,43,65,SO2,42,61,SO2,39,70,S3,39,174,20.1
80,S1 SN2 S3,46,96,SN2 X2 S3,48,46,S1,44,56,SO2,44,148,19.2
72,S3,39,63,SO2,41,70,S3,39,X,X,X,175,22.8
73,S3,38,79,SO2 S3,39,68,SN2,44,88,SO2 SN2 S3,45,188,20.8
71,S3,38,79,SO2 S3,39,95,SN2 X2 S3,43,93,SN2 X2 S3,39,148,17.6
89,SN2 X2 S3,43,109,SN2 X2 S3,57,92,SN2 X2 S3,42,89,SN2 X2 S3,44,168,18.9
104,SN2X2 S3,46,X,X,X,90,SN2 X2 S3,39,75,S1 S3,43,192,21.5
X,X,X,X,X,X,86,SO2 SN2 S3,46,65,S3,35,160,18.2
X,X,X,X,X,X,60,SN2,45,78,SO2 S3,44,181,18.9
X,X,X,X,X,X,76,SO2 S3,32,102,SN2 X2 S3,46,147,23.8
X,X,X,TW50,SLIDER,37,89,SN2 X2 S3,46,79,S1 S3,39,142,21
X,X,X,X,X,X,56,SO2,35,73,S3,48,207,18.1
80,S1 SN2 S3,47,75,S1 S3,44,57,SO2,43,76,SO2 S3,42,212,16.5
63,SN2,35,86,SO2 SN2 S3,48,71,S1 S3,45,86,SO2 SN2 S3,48,174,17.9
72,S1 S3,42,49,S1,45,55,SO2,43,86,SN2 X2 S3,47,186,23
71,S1 S3,39,87,SN2 X2 S3,37,50,SO2,34,78,SO2 S3,36,195,16.3
X,X,X,70,S1 S3,42,68,S3,45,75,SO2 S3,43,163,16.8
95,SN2 X2 S3,47,63,SN2,43,94,SN2 X2 S3,46,109,SN2 X2 S3,51,212,17
82,SO2 SN2 S3,47,51,SO2,46,69,S3,45,X,X,X,153,20.8
X,X,X,77,SO2 S3,45,69,45,46,X,X,X,,
TW50,X,43,TW50,X,39,TW50,X,39,TW50,X,38,203,9.8
X,X,X,65,X,44,59,X,41,X,X,X,242,10.3
68,X,47,71,S1,37,97,SN2,30,67,X,41,228,10.4
94,SO2,35,84,SO2,35,87,SO2,34,83,SO2,28,239,8.4
96,SO2,36,59,X,40,98,SN2,35,82,SO2,37,220,9.7
114,S3,43,93,SO2,39,74,S1,39,91,SO2,33,237,7.1
68,X,48,87,SO2,33,50,60,33,85,SO2,30,255,6.8
70,S1,36,66,S1,40,63,X,35,89,SO2,32,250,7.3
82,SO2,34,106,SN2,34,63,X,35,77,S1,36,242,11.6
103,SN2,30,76,S1,39,82,SO2,30,97,SO2,35,254,9.1
61,X,33,85,SO2,38,63,X,32,90,SO2,32,260,7.9
89,SO2,36,102,SO2,37,94,SO2,36,64,X,35,276,6.1
95,SO2,30,63,X,37,62,X,37,79,S1,40,266,6.5
92,SO2,33,88,SO2,19,116,S3,25,75,S1,36,235,4.8
X,X,X,64,X,33,54,64,32,55,65,33,270,5.4
65,X,37,57,67,36,62,X,35,79,S1,37,297,7
X,X,X,X,X,X,81,S1,40,91,SO2,30,278,5.1
87,S1,33,100,SO2,33,111,SO2,36,X,X,X,285,4.8
79,S1,34,68,X,35,74,X,35,116,SO2,36,301,4
91,S1,45,73,X,39,80,S1,36,X,X,X,295,6.1
67,X,36,88,S1,33,100,SO2,31,94,SO2,33,288,4.1
83,S1,39,94,S1,40,65,X,44,90,S1,43,264,5.7
69,X,40,96,S1,48,89,S1,30,82,S1,45,259,7.9
X,X,X,93,S1,45,69,X,36,76,S1,36,278,6.1
85,S1,36,69,X,36,74,S1,38,101,SO2,37,240,6.6
73,S1,36,74,S1,36,82,S1,44,69,X,41,223,5.8
92,S1,38,68,X,33,82,S1,39,86,S1,39,248,5.2
95,S1,40,84,S1,38,87,S1,40,X,X,X,295,2.6
83,S1,41,59,69,39,65,X,39,70,X,42,257,3.1
67,X,37,106,SO2,36,107,SO2,36,75,S1,29,278,6.6
100,SO2,38,63,X,40,70,X,43,102,SO2,40,297,5.9
76,X,39,72,X,40,70,X,39,72,X,38,266,6.9
46,66,30,79,X,40,104,SO2,27,76,X,37,261,9.5
93,S1,37,76,X,48,84,S1,32,103,SO2,37,293,7.9
68,X,41,68,X,40,70,X,42,X,X,X,293,6.4
97,S1,34,112,SO2,32,X,X,X,87,S1,29,288,7.5
65,X,30,84,X,45,77,X,37,99,SO2,30,251,10.9
55,65,20,97,S1,37,80,X,35,73,X,33,233,8.1
110,SO2,41,91,S1,42,91,S1,42,64,X,35,279,4.7
87,X,34,61,71,43,80,X,31,95,S1,33,255,8.7
56,76,32,85,X,44,103,S1,45,86,X,46,297,8.8
73,X,34,62,72,37,92,S1,41,83,X,44,238,6.8
99,S1,38,68,X,36,54,84,36,71,X,36,293,5.7
69,X,33,73,X,42,67,X,34,107,SO2,37,283,5.9
100,S1,47,87,X,57,68,X,43,103,S1,42,301,7
111,SO2,37,83,X,44,60,70,34,84,X,42,266,7.7
90,S1,35,103,SO2,35,104,SO2,33,73,X,34,254,9.4
86,S1,35,85,S1,40,82,X,47,94,S1,45,245,8.7
88,S1,46,92,S1,45,95,SO2,34,86,S1,43,274,5.1
118,SN2,43,78,X,53,76,X,50,X,X,X,220,6.7
85,SO2,39,59,X,48,53,X,43,81,SO2,38,221,5.2
63,S1,38,66,S1,38,91,SN2,32,77,SO2,44,210,10.1
75,SO2,30,92,SN2,30,87,SN2,30,86,SN2,31,202,6.4
66,S1,34,115,S3,33,72,S1,35,75,SO2,25,191,4.8
88,S1,47,83,S1,47,95,SO2,30,98,SO2,35,147,7
59,X,33,82,SO2,34,56,X,33,X,X,X,260,10.3
92,SN2,31,96,SN2,32,82,SO2,32,80,SO2,32,244,11.6
87,SO2,31,63,S1,28,65,S1,30,X,X,X,198,11
83,SO2,33,76,S1,35,78,S1,46,70,X,39,185,6.8
78,S1,34,64,X,34,76,S1,34,63,X,46,204,9.4
102,S3,27,86,SO2,29,54,X,29,74,S1,38,217,8.1
95,SN2,27,75,S1,35,88,SO2,39,60,X,42,257,9.7
106,S3,33,86,SO2,36,110,S3,40,78,X,46,239,11
79,S1,43,95,SN2,33,81,S1,39,56,X,32,181,5.2
91,SO2,33,63,X,34,77,S1,37,53,63,42,228,6.5
63,X,41,63,X,38,56,66,38,75,S1,34,229,7
76,S1,33,75,S1,34,72,S1,37,99,SO2,36,20,4.9
61,X,39,48,68,42,134,SO2,40,62,X,42,233,7.1
87,SO2,30,93,SO2,30,66,X,44,66,X,44,227,6.9
66,X,36,95,SO2,37,70,X,36,83,S1,40,258,8.9
83,S1,37,82,S1,33,76,S1,37,X,X,X,229,8.7
78,35,33,56,X,36,61,X,37,66,76,43,274,3.6
96,SO2,30,101,SO2,33,63,X,38,X,X,X,289,1.9
71,S1,34,74,S1,41,67,S1,34,59,X,41,214,0
95,SO2,37,87,SO2,31,75,S1,37,X,X,X,127,2.3
87,SO2,26,88,SO2,25,85,SO2,21,X,X,X,271,4.8
80,S1,39,78,S1,37,62,X,43,113,SN2,31,259,6
66,X,40,77,S1,36,70,S1,28,65,X,34,292,5
103,SO2,40,59,69,34,78,S1,30,101,SO2,31,238,4.3
92,SO2,32,57,67,30,82,S1,40,64,X,34,169,4.5
70,S1,35,87,S1,41,87,S1,42,76,S1,38,271,3.3
84,S1,43,91,SO2,33,73,S1,32,77,S1,32,268,4.2
85,S1,41,85,S1,39,78,S1,35,90,SO2,29,275,5.6
58,68,37,56,66,34,69,X,42,78,S1,33,274,4
77,S1,34,66,X,30,63,X,27,87,S1,38,283,4
69,X,39,93,SO2,36,61,X,32,102,SO2,30,283,3.6
X,X,X,63,X,34,61,X,34,76,S1,31,305,3.4
X,X,X,111,SN2,34,91,SO2,32,68,X,41,259,2
84,S1,39,56,66,42,78,S1,36,X,X,X,256,4.2
66,X,38,60,X,36,77,S1,32,X,X,X,277,4.6
107,SO2,37,64,X,32,61,X,29,X,X,X,308,4.1
70,S1,27,55,65,30,85,S1,34,58,68,39,262,4.6
68,X,30,70,X,40,109,SO2,32,X,X,X,330,4.1
90,S1,37,59,69,34,98,SO2,23,44,64,15,335,3.9
87,S1,41,71,X,40,79,S1,34,73,X,31,316,1.5
100,SO2,41,73,X,37,48,78,36,67,77,30,335,5.8
61,71,34,58,78,36,55,75,33,116,SO2,24,331,6.1
71,X,37,104,S1,36,91,S1,31,75,X,34,326,5.8
85,S1,37,65,75,35,115,SO2,34,81,X,42,319,6.3
96,S1,39,70,X,38,78,X,41,102,S1,44,307,4.9
96,S1,41,69,79,32,84,X,45,78,X,36,341,3.4
65,85,40,71,81,36,73,83,39,75,85,39,354,6.1
120,SN2,41,64,84,43,86,X,45,86,X,49,353,5.7
89,X,47,75,85,46,87,X,49,81,X,44,340,5.7
80,X,40,103,S1,46,82,X,41,63,83,38,351,3.7
95,S1,48,99,S1,45,96,S1,43,55,85,41,322,3.4
92,S1,45,57,87,42,87,X,47,108,S1,52,327,3.8
68,88,36,63,83,30,66,86,36,88,X,36,318,4.4
114,SN2,22,85,X,41,62,82,36,117,SN2,30,314,5.8
78,X,35,82,X,32,118,SO2,41,X,X,X,326,4.9
92,S1,41,73,83,37,90,S1,44,78,X,35,297,2.7
80,X,32,78,X,35,63,83,39,106,S1,42,343,4
77,X,33,82,X,41,81,X,43,98,S1,38,319,3.6
51,81,32,91,S1,34,60,80,33,95,S1,36,309,4.5
44,84,40,70,80,33,89,X,45,70,80,33,326,4.6
66,86,35,94,S1,33,60,80,30,80,X,37,313,5.1
56,76,37,101,S1,40,92,S1,32,X,X,X,323,5.5
TW50,X,32,TW50,X,26,TW50,X,26,TW50,X,26,245,5.4
67,X,33,58,68,39,92,SO2,24,95,SO2,24,309,5.7
X,X,X,92,S1,43,76,S1,36,X,X,X,354,4
109,SO2,30,62,72,32,76,S1,26,70,X,37,349,2.5
X,X,X,X,X,X,90,S1,37,96,S1,35,312,2.8
X,X,X,X,X,X,83,X,38,77,87,38,305,6
X,X,X,X,X,X,75,85,34,90,X,49,294,6.4
X,X,X,X,X,X,95,S1,33,60,90,44,307,4
X,X,X,X,X,X,65,85,39,109,S1,50,323,1.1
79,X,41,97,S1,40,56,86,38,112,SO2,31,319,3.2
106,SO2,30,71,81,35,78,X,37,64,84,38,5,3.6
59,89,45,90,S1,35,X,X,X,81,X,33,318,1.4
80,X,43,78,X,40,59,79,43,78,X,51,321,2.5
71,X,42,98,S1,49,64,74,38,56,76,38,59,1.9
75,X,41,94,SO2,39,53,73,38,68,X,42,108,2
100,SO2,35,104,SO2,37,72,X,38,87,S1,41,337,0.9
84,S1,32,73,X,34,83,S1,32,90,SO2,27,339,4.3
65,75,39,70,X,38,78,S1,35,113,SO2,29,301,7.6
93,S1,28,60,70,29,69,X,28,86,S1,28,315,7
X,X,X,64,84,38,61,81,30,66,76,26,318,9.5
X,X,X,100,S1,36,80,X,39,80,X,39,322,9
69,79,37,110,SO2,30,105,SO2,30,X,X,X,33,4.1
55,75,33,88,S1,34,37,77,34,76,X,35,27,3.4
X,X,X,86,S1,31,55,75,31,74,X,39,349,3.7
66,86,41,118,SO2,39,82,X,41,86,X,45,356,4.7
83,X,33,85,X,46,87,X,38,X,X,X,21,7.1
